protein1 protein2 combined_score
243273.MG_150 243273.MG_180 711
243273.MG_150 243273.MG_378 178
243273.MG_150 243273.MG_341 976
243273.MG_150 243273.MG_305 851
243273.MG_150 243273.MG_038 171
243273.MG_150 243273.MG_293 163
243273.MG_150 243273.MG_327 226
243273.MG_150 243273.MG_392 378
243273.MG_150 243273.MG_359 173
243273.MG_150 243273.MG_089 999
243273.MG_150 243273.MG_463 985
243273.MG_150 243273.MG_336 224
243273.MG_150 243273.MG_179 711
243273.MG_150 243273.MG_216 958
243273.MG_150 243273.MG_257 999
243273.MG_150 243273.MG_215 643
243273.MG_150 243273.MG_149 456
243273.MG_150 243273.MG_041 219
243273.MG_150 243273.MG_002 657
243273.MG_150 243273.MG_278 977
243273.MG_150 243273.MG_253 289
243273.MG_150 243273.MG_404 478
243273.MG_150 243273.MG_197 999
243273.MG_150 243273.MG_088 999
243273.MG_150 243273.MG_398 246
243273.MG_150 243273.MG_334 398
243273.MG_150 243273.MG_030 300
243273.MG_150 243273.MG_004 420
243273.MG_150 243273.MG_140 278
243273.MG_150 243273.MG_417 999
243273.MG_150 243273.MG_018 196
243273.MG_150 243273.MG_203 496
243273.MG_150 243273.MG_233 351
243273.MG_150 243273.MG_170 997
243273.MG_150 243273.MG_361 999
243273.MG_150 243273.MG_265 215
243273.MG_150 243273.MG_087 999
243273.MG_150 243273.MG_455 286
243273.MG_150 243273.MG_106 960
243273.MG_150 243273.MG_035 150
243273.MG_150 243273.MG_100 212
243273.MG_150 243273.MG_399 441
243273.MG_150 243273.MG_198 999
243273.MG_150 243273.MG_355 330
243273.MG_150 243273.MG_446 999
243273.MG_150 243273.MG_156 999
243273.MG_150 243273.MG_363 999
243273.MG_150 243273.MG_176 999
243273.MG_150 243273.MG_090 999
243273.MG_150 243273.MG_308 452
243273.MG_150 243273.MG_147 306
243273.MG_150 243273.MG_178 999
243273.MG_150 243273.MG_445 670
243273.MG_150 243273.MG_125 214
243273.MG_150 243273.MG_023 682
243273.MG_150 243273.MG_177 999
243273.MG_150 243273.MG_301 270
243273.MG_150 243273.MG_394 239
243273.MG_150 243273.MG_272 186
243273.MG_150 243273.MG_424 999
243273.MG_150 243273.MG_196 934
243273.MG_150 243273.MG_367 990
243273.MG_150 243273.MG_340 903
243273.MG_150 243273.MG_266 471
243273.MG_150 243273.MG_148 349
243273.MG_150 243273.MG_465 497
243273.MG_150 243273.MG_136 489
243273.MG_150 243273.MG_469 285
243273.MG_150 243273.MG_145 299
243273.MG_150 243273.MG_477 417
243273.MG_150 243273.MG_026 999
243273.MG_150 243273.MG_353 166
243273.MG_150 243273.MG_144 299
243273.MG_150 243273.MG_001 187
243273.MG_150 243273.MG_400 592
243273.MG_150 243273.MG_240 175
243273.MG_150 243273.MG_055 848
243273.MG_150 243273.MG_098 159
243273.MG_150 243273.MG_222 735
243273.MG_150 243273.MG_318 923
243273.MG_150 243273.MG_113 282
243273.MG_150 243273.MG_146 306
243273.MG_150 243273.MG_462 999
243273.MG_150 243273.MG_058 466
243273.MG_151 243273.MG_276 199
243273.MG_151 243273.MG_339 442
243273.MG_151 243273.MG_200 820
243273.MG_151 243273.MG_435 999
243273.MG_151 243273.MG_259 190
243273.MG_151 243273.MG_431 269
243273.MG_151 243273.MG_167 999
243273.MG_151 243273.MG_457 898
243273.MG_151 243273.MG_007 157
243273.MG_151 243273.MG_300 487
243273.MG_151 243273.MG_172 997
243273.MG_151 243273.MG_425 876
243273.MG_151 243273.MG_053 196
243273.MG_151 243273.MG_158 999
243273.MG_151 243273.MG_126 157
243273.MG_151 243273.MG_444 999
243273.MG_151 243273.MG_019 820
243273.MG_151 243273.MG_368 270
243273.MG_151 243273.MG_316 166
243273.MG_151 243273.MG_174 999
243273.MG_151 243273.MG_451 999
243273.MG_151 243273.MG_014 155
243273.MG_151 243273.MG_138 996
243273.MG_151 243273.MG_283 170
243273.MG_151 243273.MG_059 993
243273.MG_151 243273.MG_269 153
243273.MG_151 243273.MG_165 999
243273.MG_151 243273.MG_081 999
243273.MG_151 243273.MG_252 951
243273.MG_151 243273.MG_166 999
243273.MG_151 243273.MG_008 873
243273.MG_151 243273.MG_204 235
243273.MG_151 243273.MG_351 268
243273.MG_151 243273.MG_168 999
243273.MG_151 243273.MG_466 999
243273.MG_151 243273.MG_162 999
243273.MG_151 243273.MG_150 999
243273.MG_151 243273.MG_442 999
243273.MG_151 243273.MG_143 417
243273.MG_151 243273.MG_418 999
243273.MG_151 243273.MG_258 989
243273.MG_151 243273.MG_335 932
243273.MG_151 243273.MG_182 775
243273.MG_151 243273.MG_434 254
243273.MG_151 243273.MG_093 999
243273.MG_151 243273.MG_024 424
243273.MG_151 243273.MG_405 478
243273.MG_151 243273.MG_209 858
243273.MG_151 243273.MG_375 957
243273.MG_151 243273.MG_362 999
243273.MG_151 243273.MG_036 399
243273.MG_151 243273.MG_478 539
243273.MG_151 243273.MG_357 218
243273.MG_151 243273.MG_099 304
243273.MG_151 243273.MG_473 938
243273.MG_151 243273.MG_388 834
243273.MG_151 243273.MG_054 820
243273.MG_151 243273.MG_159 999
243273.MG_151 243273.MG_048 999
243273.MG_151 243273.MG_268 257
243273.MG_151 243273.MG_297 971
243273.MG_151 243273.MG_432 158
243273.MG_151 243273.MG_122 575
243273.MG_151 243273.MG_181 702
243273.MG_151 243273.MG_091 457
243273.MG_151 243273.MG_186 151
243273.MG_151 243273.MG_426 999
243273.MG_151 243273.MG_433 812
243273.MG_151 243273.MG_169 999
243273.MG_151 243273.MG_407 281
243273.MG_151 243273.MG_275 492
243273.MG_151 243273.MG_231 156
243273.MG_151 243273.MG_153 999
243273.MG_151 243273.MG_481 999
243273.MG_151 243273.MG_142 949
243273.MG_151 243273.MG_184 692
243273.MG_151 243273.MG_029 208
243273.MG_151 243273.MG_141 905
243273.MG_151 243273.MG_423 155
243273.MG_151 243273.MG_194 473
243273.MG_151 243273.MG_003 169
243273.MG_151 243273.MG_175 999
243273.MG_151 243273.MG_218 154
243273.MG_151 243273.MG_468 178
243273.MG_151 243273.MG_183 710
243273.MG_151 243273.MG_234 999
243273.MG_151 243273.MG_476 682
243273.MG_151 243273.MG_345 322
243273.MG_151 243273.MG_185 476
243273.MG_151 243273.MG_325 938
243273.MG_151 243273.MG_005 425
243273.MG_151 243273.MG_046 353
243273.MG_151 243273.MG_157 999
243273.MG_151 243273.MG_250 461
243273.MG_151 243273.MG_311 999
243273.MG_151 243273.MG_152 999
243273.MG_151 243273.MG_522 999
243273.MG_151 243273.MG_180 755
243273.MG_151 243273.MG_163 999
243273.MG_151 243273.MG_092 999
243273.MG_151 243273.MG_238 928
243273.MG_151 243273.MG_161 999
243273.MG_151 243273.MG_448 563
243273.MG_151 243273.MG_173 993
243273.MG_151 243273.MG_021 470
243273.MG_151 243273.MG_287 981
243273.MG_151 243273.MG_164 999
243273.MG_151 243273.MG_251 261
243273.MG_151 243273.MG_403 512
243273.MG_151 243273.MG_195 614
243273.MG_151 243273.MG_393 159
243273.MG_151 243273.MG_171 929
243273.MG_151 243273.MG_402 617
243273.MG_151 243273.MG_154 999
243273.MG_151 243273.MG_401 552
243273.MG_151 243273.MG_464 659
243273.MG_151 243273.MG_124 290
243273.MG_151 243273.MG_232 999
243273.MG_151 243273.MG_155 999
243273.MG_151 243273.MG_160 999
243273.MG_151 243273.MG_370 858
243273.MG_151 243273.MG_070 999
243273.MG_151 243273.MG_082 999
243273.MG_151 243273.MG_197 999
243273.MG_151 243273.MG_398 201
243273.MG_151 243273.MG_088 999
243273.MG_151 243273.MG_404 609
243273.MG_151 243273.MG_278 977
243273.MG_151 243273.MG_517 343
243273.MG_151 243273.MG_264 150
243273.MG_151 243273.MG_140 278
243273.MG_151 243273.MG_334 392
243273.MG_151 243273.MG_030 157
243273.MG_151 243273.MG_004 591
243273.MG_151 243273.MG_341 967
243273.MG_151 243273.MG_038 258
243273.MG_151 243273.MG_305 803
243273.MG_151 243273.MG_378 424
243273.MG_151 243273.MG_149 456
243273.MG_151 243273.MG_041 214
243273.MG_151 243273.MG_002 820
243273.MG_151 243273.MG_215 216
243273.MG_151 243273.MG_257 999
243273.MG_151 243273.MG_463 403
243273.MG_151 243273.MG_216 993
243273.MG_151 243273.MG_179 762
243273.MG_151 243273.MG_392 471
243273.MG_151 243273.MG_089 999
243273.MG_151 243273.MG_176 999
243273.MG_151 243273.MG_090 999
243273.MG_151 243273.MG_156 999
243273.MG_151 243273.MG_291 215
243273.MG_151 243273.MG_446 999
243273.MG_151 243273.MG_363 999
243273.MG_151 243273.MG_064 181
243273.MG_151 243273.MG_198 999
243273.MG_151 243273.MG_399 351
243273.MG_151 243273.MG_100 178
243273.MG_151 243273.MG_445 632
243273.MG_151 243273.MG_178 999
243273.MG_151 243273.MG_147 306
243273.MG_151 243273.MG_308 876
243273.MG_151 243273.MG_170 999
243273.MG_151 243273.MG_203 169
243273.MG_151 243273.MG_233 461
243273.MG_151 243273.MG_018 173
243273.MG_151 243273.MG_417 999
243273.MG_151 243273.MG_087 999
243273.MG_151 243273.MG_106 959
243273.MG_151 243273.MG_035 501
243273.MG_151 243273.MG_455 204
243273.MG_151 243273.MG_390 209
243273.MG_151 243273.MG_361 999
243273.MG_151 243273.MG_400 529
243273.MG_151 243273.MG_144 299
243273.MG_151 243273.MG_146 306
243273.MG_151 243273.MG_113 215
243273.MG_151 243273.MG_058 525
243273.MG_151 243273.MG_462 999
243273.MG_151 243273.MG_460 159
243273.MG_151 243273.MG_055 849
243273.MG_151 243273.MG_318 932
243273.MG_151 243273.MG_222 158
243273.MG_151 243273.MG_240 357
243273.MG_151 243273.MG_384 887
243273.MG_151 243273.MG_148 349
243273.MG_151 243273.MG_266 418
243273.MG_151 243273.MG_465 513
243273.MG_151 243273.MG_424 999
243273.MG_151 243273.MG_272 240
243273.MG_151 243273.MG_340 884
243273.MG_151 243273.MG_367 990
243273.MG_151 243273.MG_015 155
243273.MG_151 243273.MG_072 662
243273.MG_151 243273.MG_196 817
243273.MG_151 243273.MG_177 993
243273.MG_151 243273.MG_023 595
243273.MG_151 243273.MG_301 554
243273.MG_151 243273.MG_026 999
243273.MG_151 243273.MG_104 508
243273.MG_151 243273.MG_145 300
243273.MG_151 243273.MG_477 421
243273.MG_151 243273.MG_136 434
243273.MG_151 243273.MG_298 154
243273.MG_152 243273.MG_138 995
243273.MG_152 243273.MG_451 999
243273.MG_152 243273.MG_014 206
243273.MG_152 243273.MG_165 999
243273.MG_152 243273.MG_096 224
243273.MG_152 243273.MG_437 170
243273.MG_152 243273.MG_059 991
243273.MG_152 243273.MG_283 172
243273.MG_152 243273.MG_444 999
243273.MG_152 243273.MG_158 999
243273.MG_152 243273.MG_174 999
243273.MG_152 243273.MG_244 151
243273.MG_152 243273.MG_019 651
243273.MG_152 243273.MG_368 449
243273.MG_152 243273.MG_457 853
243273.MG_152 243273.MG_167 999
243273.MG_152 243273.MG_282 216
243273.MG_152 243273.MG_431 209
243273.MG_152 243273.MG_172 995
243273.MG_152 243273.MG_425 848
243273.MG_152 243273.MG_300 450
243273.MG_152 243273.MG_007 224
243273.MG_152 243273.MG_435 999
243273.MG_152 243273.MG_200 651
243273.MG_152 243273.MG_276 155
243273.MG_152 243273.MG_339 182
243273.MG_152 243273.MG_259 172
243273.MG_152 243273.MG_249 160
243273.MG_152 243273.MG_209 612
243273.MG_152 243273.MG_405 495
243273.MG_152 243273.MG_024 207
243273.MG_152 243273.MG_093 999
243273.MG_152 243273.MG_362 999
243273.MG_152 243273.MG_375 851
243273.MG_152 243273.MG_258 985
243273.MG_152 243273.MG_418 999
243273.MG_152 243273.MG_434 230
243273.MG_152 243273.MG_335 378
243273.MG_152 243273.MG_182 776
243273.MG_152 243273.MG_143 417
243273.MG_152 243273.MG_442 981
243273.MG_152 243273.MG_150 999
243273.MG_152 243273.MG_108 183
243273.MG_152 243273.MG_162 999
243273.MG_152 243273.MG_081 999
243273.MG_152 243273.MG_252 601
243273.MG_152 243273.MG_466 999
243273.MG_152 243273.MG_168 999
243273.MG_152 243273.MG_166 999
243273.MG_152 243273.MG_204 327
243273.MG_152 243273.MG_351 216
243273.MG_152 243273.MG_407 918
243273.MG_152 243273.MG_169 999
243273.MG_152 243273.MG_275 430
243273.MG_152 243273.MG_186 157
243273.MG_152 243273.MG_091 392
243273.MG_152 243273.MG_181 702
243273.MG_152 243273.MG_433 812
243273.MG_152 243273.MG_426 999
243273.MG_152 243273.MG_048 998
243273.MG_152 243273.MG_159 999
243273.MG_152 243273.MG_297 953
243273.MG_152 243273.MG_122 210
243273.MG_152 243273.MG_357 226
243273.MG_152 243273.MG_107 182
243273.MG_152 243273.MG_478 539
243273.MG_152 243273.MG_054 837
243273.MG_152 243273.MG_099 245
243273.MG_152 243273.MG_473 938
243273.MG_152 243273.MG_005 443
243273.MG_152 243273.MG_325 938
243273.MG_152 243273.MG_311 999
243273.MG_152 243273.MG_157 999
243273.MG_152 243273.MG_151 999
243273.MG_152 243273.MG_183 708
243273.MG_152 243273.MG_234 999
243273.MG_152 243273.MG_468 369
243273.MG_152 243273.MG_345 281
243273.MG_152 243273.MG_408 246
243273.MG_152 243273.MG_185 476
243273.MG_152 243273.MG_476 694
243273.MG_152 243273.MG_194 337
243273.MG_152 243273.MG_470 177
243273.MG_152 243273.MG_003 164
243273.MG_152 243273.MG_029 302
243273.MG_152 243273.MG_141 874
243273.MG_152 243273.MG_423 192
243273.MG_152 243273.MG_175 999
243273.MG_152 243273.MG_153 999
243273.MG_152 243273.MG_184 692
243273.MG_152 243273.MG_142 958
243273.MG_152 243273.MG_481 999
243273.MG_152 243273.MG_232 999
243273.MG_152 243273.MG_155 999
243273.MG_152 243273.MG_160 999
243273.MG_152 243273.MG_124 297
243273.MG_152 243273.MG_401 683
243273.MG_152 243273.MG_464 650
243273.MG_152 243273.MG_082 999
243273.MG_152 243273.MG_070 999
243273.MG_152 243273.MG_370 612
243273.MG_152 243273.MG_195 819
243273.MG_152 243273.MG_403 577
243273.MG_152 243273.MG_251 222
243273.MG_152 243273.MG_154 999
243273.MG_152 243273.MG_402 787
243273.MG_152 243273.MG_292 163
243273.MG_152 243273.MG_393 163
243273.MG_152 243273.MG_171 961
243273.MG_152 243273.MG_238 916
243273.MG_152 243273.MG_163 999
243273.MG_152 243273.MG_092 999
243273.MG_152 243273.MG_180 715
243273.MG_152 243273.MG_164 999
243273.MG_152 243273.MG_021 256
243273.MG_152 243273.MG_287 727
243273.MG_152 243273.MG_173 999
243273.MG_152 243273.MG_161 999
243273.MG_152 243273.MG_448 513
243273.MG_152 243273.MG_522 999
243273.MG_152 243273.MG_215 221
243273.MG_152 243273.MG_257 999
243273.MG_152 243273.MG_002 651
243273.MG_152 243273.MG_149 456
243273.MG_152 243273.MG_089 999
243273.MG_152 243273.MG_392 200
243273.MG_152 243273.MG_216 953
243273.MG_152 243273.MG_179 715
243273.MG_152 243273.MG_463 870
243273.MG_152 243273.MG_038 182
243273.MG_152 243273.MG_305 628
243273.MG_152 243273.MG_379 178
243273.MG_152 243273.MG_341 947
243273.MG_152 243273.MG_248 174
243273.MG_152 243273.MG_378 451
243273.MG_152 243273.MG_066 159
243273.MG_152 243273.MG_139 190
243273.MG_152 243273.MG_004 388
243273.MG_152 243273.MG_334 288
243273.MG_152 243273.MG_030 155
243273.MG_152 243273.MG_140 278
243273.MG_152 243273.MG_088 999
243273.MG_152 243273.MG_398 269
243273.MG_152 243273.MG_197 999
243273.MG_152 243273.MG_278 977
243273.MG_152 243273.MG_404 511
243273.MG_152 243273.MG_106 967
243273.MG_152 243273.MG_035 427
243273.MG_152 243273.MG_455 375
243273.MG_152 243273.MG_087 999
243273.MG_152 243273.MG_361 999
243273.MG_152 243273.MG_390 221
243273.MG_152 243273.MG_170 999
243273.MG_152 243273.MG_018 192
243273.MG_152 243273.MG_417 999
243273.MG_152 243273.MG_203 164
243273.MG_152 243273.MG_147 306
243273.MG_152 243273.MG_445 700
243273.MG_152 243273.MG_178 999
243273.MG_152 243273.MG_308 848
243273.MG_152 243273.MG_363 999
243273.MG_152 243273.MG_156 999
243273.MG_152 243273.MG_446 999
243273.MG_152 243273.MG_090 999
243273.MG_152 243273.MG_176 999
243273.MG_152 243273.MG_399 652
243273.MG_152 243273.MG_100 365
243273.MG_152 243273.MG_198 999
243273.MG_152 243273.MG_104 651
243273.MG_152 243273.MG_026 999
243273.MG_152 243273.MG_469 155
243273.MG_152 243273.MG_136 404
243273.MG_152 243273.MG_033 151
243273.MG_152 243273.MG_477 488
243273.MG_152 243273.MG_145 309
243273.MG_152 243273.MG_340 869
243273.MG_152 243273.MG_367 988
243273.MG_152 243273.MG_015 206
243273.MG_152 243273.MG_072 672
243273.MG_152 243273.MG_196 724
243273.MG_152 243273.MG_424 999
243273.MG_152 243273.MG_394 173
243273.MG_152 243273.MG_465 527
243273.MG_152 243273.MG_148 349
243273.MG_152 243273.MG_384 883
243273.MG_152 243273.MG_266 552
243273.MG_152 243273.MG_301 203
243273.MG_152 243273.MG_177 985
243273.MG_152 243273.MG_023 532
243273.MG_152 243273.MG_058 437
243273.MG_152 243273.MG_462 999
243273.MG_152 243273.MG_146 306
243273.MG_152 243273.MG_113 222
243273.MG_152 243273.MG_240 203
243273.MG_152 243273.MG_318 936
243273.MG_152 243273.MG_055 847
243273.MG_152 243273.MG_001 181
243273.MG_152 243273.MG_400 594
243273.MG_152 243273.MG_144 299
243273.MG_153 243273.MG_147 306
243273.MG_153 243273.MG_445 665
243273.MG_153 243273.MG_178 999
243273.MG_153 243273.MG_308 718
243273.MG_153 243273.MG_363 999
243273.MG_153 243273.MG_156 999
243273.MG_153 243273.MG_446 999
243273.MG_153 243273.MG_090 999
243273.MG_153 243273.MG_176 999
243273.MG_153 243273.MG_399 502
243273.MG_153 243273.MG_100 228
243273.MG_153 243273.MG_355 257
243273.MG_153 243273.MG_198 999
243273.MG_153 243273.MG_106 959
243273.MG_153 243273.MG_035 241
243273.MG_153 243273.MG_087 999
243273.MG_153 243273.MG_361 999
243273.MG_153 243273.MG_170 999
243273.MG_153 243273.MG_018 416
243273.MG_153 243273.MG_417 999
243273.MG_153 243273.MG_233 250
243273.MG_153 243273.MG_058 241
243273.MG_153 243273.MG_462 999
243273.MG_153 243273.MG_146 306
243273.MG_153 243273.MG_235 209
243273.MG_153 243273.MG_113 264
243273.MG_153 243273.MG_318 915
243273.MG_153 243273.MG_055 883
243273.MG_153 243273.MG_400 584
243273.MG_153 243273.MG_144 299
243273.MG_153 243273.MG_104 583
243273.MG_153 243273.MG_026 999
243273.MG_153 243273.MG_136 389
243273.MG_153 243273.MG_477 546
243273.MG_153 243273.MG_145 300
243273.MG_153 243273.MG_340 897
243273.MG_153 243273.MG_367 248
243273.MG_153 243273.MG_072 838
243273.MG_153 243273.MG_196 672
243273.MG_153 243273.MG_424 999
243273.MG_153 243273.MG_394 251
243273.MG_153 243273.MG_272 200
243273.MG_153 243273.MG_465 430
243273.MG_153 243273.MG_384 673
243273.MG_153 243273.MG_148 349
243273.MG_153 243273.MG_266 317
243273.MG_153 243273.MG_301 248
243273.MG_153 243273.MG_177 983
243273.MG_153 243273.MG_023 227
243273.MG_153 243273.MG_238 987
243273.MG_153 243273.MG_163 999
243273.MG_153 243273.MG_092 999
243273.MG_153 243273.MG_180 700
243273.MG_153 243273.MG_164 999
243273.MG_153 243273.MG_021 235
243273.MG_153 243273.MG_287 167
243273.MG_153 243273.MG_173 994
243273.MG_153 243273.MG_161 999
243273.MG_153 243273.MG_522 999
243273.MG_153 243273.MG_232 999
243273.MG_153 243273.MG_160 999
243273.MG_153 243273.MG_155 999
243273.MG_153 243273.MG_124 447
243273.MG_153 243273.MG_401 693
243273.MG_153 243273.MG_464 215
243273.MG_153 243273.MG_082 999
243273.MG_153 243273.MG_070 999
243273.MG_153 243273.MG_370 435
243273.MG_153 243273.MG_195 616
243273.MG_153 243273.MG_403 548
243273.MG_153 243273.MG_402 544
243273.MG_153 243273.MG_154 999
243273.MG_153 243273.MG_171 918
243273.MG_153 243273.MG_139 444
243273.MG_153 243273.MG_004 224
243273.MG_153 243273.MG_334 285
243273.MG_153 243273.MG_140 278
243273.MG_153 243273.MG_398 308
243273.MG_153 243273.MG_088 999
243273.MG_153 243273.MG_197 999
243273.MG_153 243273.MG_278 977
243273.MG_153 243273.MG_404 478
243273.MG_153 243273.MG_215 288
243273.MG_153 243273.MG_257 999
243273.MG_153 243273.MG_002 238
243273.MG_153 243273.MG_149 456
243273.MG_153 243273.MG_089 999
243273.MG_153 243273.MG_392 245
243273.MG_153 243273.MG_216 994
243273.MG_153 243273.MG_179 700
243273.MG_153 243273.MG_463 204
243273.MG_153 243273.MG_038 258
243273.MG_153 243273.MG_305 711
243273.MG_153 243273.MG_341 929
243273.MG_153 243273.MG_293 172
243273.MG_153 243273.MG_378 206
243273.MG_153 243273.MG_048 999
243273.MG_153 243273.MG_159 999
243273.MG_153 243273.MG_122 177
243273.MG_153 243273.MG_297 961
243273.MG_153 243273.MG_357 218
243273.MG_153 243273.MG_478 539
243273.MG_153 243273.MG_054 801
243273.MG_153 243273.MG_099 187
243273.MG_153 243273.MG_473 939
243273.MG_153 243273.MG_407 516
243273.MG_153 243273.MG_358 178
243273.MG_153 243273.MG_169 999
243273.MG_153 243273.MG_186 171
243273.MG_153 243273.MG_091 321
243273.MG_153 243273.MG_181 702
243273.MG_153 243273.MG_433 723
243273.MG_153 243273.MG_426 999
243273.MG_153 243273.MG_194 248
243273.MG_153 243273.MG_047 171
243273.MG_153 243273.MG_029 312
243273.MG_153 243273.MG_141 874
243273.MG_153 243273.MG_423 227
243273.MG_153 243273.MG_175 999
243273.MG_153 243273.MG_184 692
243273.MG_153 243273.MG_142 936
243273.MG_153 243273.MG_481 999
243273.MG_153 243273.MG_005 284
243273.MG_153 243273.MG_325 956
243273.MG_153 243273.MG_152 999
243273.MG_153 243273.MG_311 999
243273.MG_153 243273.MG_151 999
243273.MG_153 243273.MG_157 999
243273.MG_153 243273.MG_183 692
243273.MG_153 243273.MG_234 999
243273.MG_153 243273.MG_345 399
243273.MG_153 243273.MG_185 476
243273.MG_153 243273.MG_476 673
243273.MG_153 243273.MG_457 658
243273.MG_153 243273.MG_282 254
243273.MG_153 243273.MG_167 999
243273.MG_153 243273.MG_431 239
243273.MG_153 243273.MG_172 998
243273.MG_153 243273.MG_425 718
243273.MG_153 243273.MG_300 206
243273.MG_153 243273.MG_007 190
243273.MG_153 243273.MG_435 999
243273.MG_153 243273.MG_200 238
243273.MG_153 243273.MG_339 236
243273.MG_153 243273.MG_259 176
243273.MG_153 243273.MG_138 993
243273.MG_153 243273.MG_451 999
243273.MG_153 243273.MG_165 999
243273.MG_153 243273.MG_283 396
243273.MG_153 243273.MG_059 987
243273.MG_153 243273.MG_444 999
243273.MG_153 243273.MG_126 177
243273.MG_153 243273.MG_158 999
243273.MG_153 243273.MG_174 999
243273.MG_153 243273.MG_244 263
243273.MG_153 243273.MG_019 280
243273.MG_153 243273.MG_368 222
243273.MG_153 243273.MG_143 400
243273.MG_153 243273.MG_150 999
243273.MG_153 243273.MG_442 994
243273.MG_153 243273.MG_162 999
243273.MG_153 243273.MG_081 999
243273.MG_153 243273.MG_252 156
243273.MG_153 243273.MG_466 999
243273.MG_153 243273.MG_168 999
243273.MG_153 243273.MG_166 999
243273.MG_153 243273.MG_351 328
243273.MG_153 243273.MG_204 224
243273.MG_153 243273.MG_405 457
243273.MG_153 243273.MG_209 435
243273.MG_153 243273.MG_084 273
243273.MG_153 243273.MG_093 999
243273.MG_153 243273.MG_036 376
243273.MG_153 243273.MG_362 999
243273.MG_153 243273.MG_385 172
243273.MG_153 243273.MG_258 922
243273.MG_153 243273.MG_418 999
243273.MG_153 243273.MG_434 227
243273.MG_153 243273.MG_335 312
243273.MG_153 243273.MG_182 780
243273.MG_153 243273.MG_447 246
243273.MG_154 243273.MG_277 170
243273.MG_154 243273.MG_081 999
243273.MG_154 243273.MG_252 505
243273.MG_154 243273.MG_166 999
243273.MG_154 243273.MG_351 212
243273.MG_154 243273.MG_204 282
243273.MG_154 243273.MG_466 999
243273.MG_154 243273.MG_168 999
243273.MG_154 243273.MG_162 999
243273.MG_154 243273.MG_143 425
243273.MG_154 243273.MG_150 999
243273.MG_154 243273.MG_442 968
243273.MG_154 243273.MG_201 165
243273.MG_154 243273.MG_132 199
243273.MG_154 243273.MG_258 984
243273.MG_154 243273.MG_418 999
243273.MG_154 243273.MG_182 777
243273.MG_154 243273.MG_434 272
243273.MG_154 243273.MG_458 166
243273.MG_154 243273.MG_024 502
243273.MG_154 243273.MG_093 999
243273.MG_154 243273.MG_094 269
243273.MG_154 243273.MG_405 621
243273.MG_154 243273.MG_209 520
243273.MG_154 243273.MG_375 766
243273.MG_154 243273.MG_036 455
243273.MG_154 243273.MG_362 999
243273.MG_154 243273.MG_276 327
243273.MG_154 243273.MG_339 436
243273.MG_154 243273.MG_435 999
243273.MG_154 243273.MG_200 681
243273.MG_154 243273.MG_249 384
243273.MG_154 243273.MG_282 222
243273.MG_154 243273.MG_167 999
243273.MG_154 243273.MG_431 317
243273.MG_154 243273.MG_457 882
243273.MG_154 243273.MG_007 339
243273.MG_154 243273.MG_172 996
243273.MG_154 243273.MG_053 216
243273.MG_154 243273.MG_425 704
243273.MG_154 243273.MG_300 553
243273.MG_154 243273.MG_158 999
243273.MG_154 243273.MG_444 999
243273.MG_154 243273.MG_019 681
243273.MG_154 243273.MG_368 225
243273.MG_154 243273.MG_174 999
243273.MG_154 243273.MG_244 163
243273.MG_154 243273.MG_451 999
243273.MG_154 243273.MG_014 252
243273.MG_154 243273.MG_138 995
243273.MG_154 243273.MG_283 238
243273.MG_154 243273.MG_059 994
243273.MG_154 243273.MG_165 999
243273.MG_154 243273.MG_153 999
243273.MG_154 243273.MG_231 204
243273.MG_154 243273.MG_481 999
243273.MG_154 243273.MG_184 692
243273.MG_154 243273.MG_142 961
243273.MG_154 243273.MG_029 482
243273.MG_154 243273.MG_141 877
243273.MG_154 243273.MG_423 223
243273.MG_154 243273.MG_194 560
243273.MG_154 243273.MG_003 224
243273.MG_154 243273.MG_218 175
243273.MG_154 243273.MG_175 999
243273.MG_154 243273.MG_183 692
243273.MG_154 243273.MG_234 999
243273.MG_154 243273.MG_476 678
243273.MG_154 243273.MG_345 580
243273.MG_154 243273.MG_185 476
243273.MG_154 243273.MG_325 937
243273.MG_154 243273.MG_005 424
243273.MG_154 243273.MG_151 999
243273.MG_154 243273.MG_157 999
243273.MG_154 243273.MG_046 379
243273.MG_154 243273.MG_152 999
243273.MG_154 243273.MG_311 999
243273.MG_154 243273.MG_250 509
243273.MG_154 243273.MG_478 539
243273.MG_154 243273.MG_357 180
243273.MG_154 243273.MG_107 162
243273.MG_154 243273.MG_473 937
243273.MG_154 243273.MG_099 218
243273.MG_154 243273.MG_054 836
243273.MG_154 243273.MG_388 576
243273.MG_154 243273.MG_159 999
243273.MG_154 243273.MG_048 998
243273.MG_154 243273.MG_297 970
243273.MG_154 243273.MG_122 546
243273.MG_154 243273.MG_181 703
243273.MG_154 243273.MG_186 162
243273.MG_154 243273.MG_091 306
243273.MG_154 243273.MG_426 999
243273.MG_154 243273.MG_433 832
243273.MG_154 243273.MG_169 999
243273.MG_154 243273.MG_407 468
243273.MG_154 243273.MG_365 356
243273.MG_154 243273.MG_358 159
243273.MG_154 243273.MG_275 472
243273.MG_154 243273.MG_088 999
243273.MG_154 243273.MG_398 516
243273.MG_154 243273.MG_197 999
243273.MG_154 243273.MG_404 624
243273.MG_154 243273.MG_278 978
243273.MG_154 243273.MG_066 236
243273.MG_154 243273.MG_264 166
243273.MG_154 243273.MG_140 363
243273.MG_154 243273.MG_139 214
243273.MG_154 243273.MG_004 282
